CAND_ID,degree_in,degree_in_raw,degree_out,degree_out_raw,pagerank,katz,CANDIDATE NAME,in_closeness,out_closeness,total,negative,positive,absolute,PAC,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,cumulative_occurrence,24E,24A,total_24a_positive,total_24e_positive,chairs_next,chairs_now
H6CO01141,0.0,0,0.10599078341013825,46,0.0008717652851550921,0.016321097464222955,"DeGette, Diana",0.0,0.09844533346837495,483199,-13.5,496.699,510.199,153,DEM,CO,1,0.0,0.0,0.0,0.0,0,0
H6CO07023,0.009216589861751152,4,0.06682027649769585,29,0.0010672275173947083,0.023688792619702814,"Perlmutter, Ed",0.0590498042920772,0.09806759974645812,724289,-32.5,756.789,789.289,191,DEM,CO,1,0.0,0.0,0.0,0.0,0,0
H8CA34068,0.002304147465437788,1,0.01152073732718894,5,0.0008797425697948335,0.018358546553477142,"Napolitano, Grace F.",0.007373271889400922,0.05099729798266861,230985,-5.0,235.985,240.985,89,DEM,CA,1,0.0,0.0,0.0,0.0,0,0
H4NE01064,0.006912442396313364,3,0.0,0,0.0009901517597332421,0.02253173213166761,"Fortenberry, Jeff",0.03920923207992874,0.0,149080,-6.5,155.58,162.08,49,REP,NE,1,0.0,0.0,0.0,0.0,0,0
H2OH17109,0.004608294930875576,2,0.04377880184331797,19,0.0009869343708989139,0.0197909530853924,"Ryan, Tim",0.007336890613630852,0.12922050540646365,590402,-23.0,613.402,636.402,176,DEM,OH,1,0.0,0.0,0.0,0.0,0,0
H6CA24048,0.002304147465437788,1,0.0967741935483871,42,0.0008886514538264372,0.018116418185287482,"Waxman, Henry A.",0.0030721966205837174,0.08697597422934097,685795,0.0,685.795,685.795,195,DEM,CA,1,0.0,0.0,0.0,0.0,1,1
H4RI01034,0.0,0,0.01152073732718894,5,0.0008717652851550921,0.016321097464222955,"Kennedy, Patrick J.",0.0,0.04931298355388323,424071,-19.0,443.071,462.071,126,DEM,RI,1,0.0,0.0,0.0,0.0,0,0
H2MD02160,0.0,0,0.03686635944700461,16,0.0008717652851550921,0.016321097464222955,"Ruppersberger, C. A. Dutch",0.0,0.044422439730357616,511255,-11.0,522.255,533.255,136,DEM,MD,1,0.0,0.0,0.0,0.0,0,0
H0RI02139,0.03225806451612903,14,0.004608294930875576,2,0.004226116868375627,0.044522620837511,"Langevin, James R.",0.09612068701025361,0.002304147465437788,356371,-4.5,360.871,365.371,103,DEM,RI,1,0.0,0.0,0.0,0.0,0,0
H2CA30143,0.002304147465437788,1,0.12672811059907835,55,0.0008797425697948335,0.018358546553477142,"Becerra, Xavier",0.007148765213281343,0.10324144818375426,985550,-24.0,1009.55,1033.55,279,DEM,CA,1,0.0,0.0,0.0,0.0,0,0
H2CA27107,0.0,0,0.12211981566820276,53,0.0008717652851550921,0.016321097464222955,"Harman, Jane",0.0,0.09953917050691245,332053,-16.5,348.553,365.053,116,DEM,CA,1,0.0,0.0,0.0,0.0,0,0
H2FL17056,0.002304147465437788,1,0.018433179723502304,8,0.0008900130277170683,0.018377458747915763,"Meek, Kendrick B.",0.007336890613630852,0.11561834694262539,931351,-27.186,958.537,985.723,299,DEM,FL,1,0.0,0.0,0.0,0.0,0,0
